"Name","Spin","Remnant Mass","Nu0","Nu1","Nu2","Nu3","Nu4","Nu5","Nu6","Nu7"
823,0.675730382435,0.956273327278,-2.7097733694940427-0.3968032486292984*I,-2.629061324981254-0.46960410357896976*I,-2.9753898440634137-0.7151264467902454*I,-3.324845630756729-0.8110357134572479*I,-3.6659498229932717-0.8502854842077852*I,-3.9944248533162328-0.8844419274731753*I,-4.344730445702913-0.9357924639010496*I,-4.725668829336026-0.9815274671128548*I
825,0.696660695353,0.949165104058,-2.724201654078673-0.4379532169200609*I,-2.5724080816735846-0.47869597609533127*I,-2.948877936771164-0.7345064543014292*I,-3.301880038940159-0.8329384747941838*I,-3.641209539157727-0.8725242312577326*I,-3.96295086467998-0.90800023613128*I,-4.3075083892678245-0.9632361799990262*I,-4.683948408072348-1.011298440288595*I
827,0.71239012566,0.952663678675,-2.732703597018602-0.47247462688329317*I,-2.524263516843416-0.4950294322504264*I,-2.927389037731995-0.7504665325987567*I,-3.2834038633532097-0.8503670395305407*I,-3.621568396797507-0.8898680212900009*I,-3.9377470132293575-0.9259526564563094*I,-4.277511688484781-0.9843035503679974*I,-4.650284404218008-1.0342296871525076*I
828,0.726702452252,0.945177401702,-2.738550118204214-0.5060463737253063*I,-2.4795974122012425-0.5186721327506019*I,-2.9065719985953837-0.766198470608414*I,-3.2655599371565875-0.8670533703568593*I,-3.6028495780070946-0.9062031565404461*I,-3.913537623282244-0.9424490828655739*I,-4.248515623506692-1.003820986793832*I,-4.61772045271988-1.0555511840490648*I
829,0.679730517577,0.953968581206,-2.7127726562636276-0.40419041512873577*I,-2.619080682936552-0.4705176798742029*I,-2.970497196954834-0.7186818012996088*I,-3.320588546197272-0.8151173647782425*I,-3.66133851732451-0.8544683244424248*I,-3.988580492261402-0.8889136496203555*I,-4.337837127177983-0.9409872554675606*I,-4.717947832311018-0.9871554729993322*I
830,0.660603313202,0.956533779367,-2.697660687378604-0.37113106840231436*I,-2.6630692678816055-0.4683050564922793*I,-2.993191193219863-0.7022510131590979*I,-3.340424859607913-0.7960076356241778*I,-3.682915434623943-0.8347297044320002*I,-4.015845041639287-0.8676666692140202*I,-4.369928405461213-0.9163530347206468*I,-4.753867096561425-0.9604914065033108*I
831,0.696903538187,0.949559823528,-2.724349108378245-0.43846471926019553*I,-2.5716919281007375-0.4788764857469998*I,-2.9485567283398435-0.734743178719401*I,-3.3016031415271434-0.8332008807864918*I,-3.6409133694088704-0.8727876201781185*I,-3.96257227912655-0.9082758463970255*I,-4.307059124042941-0.9635584780362623*I,-4.683444454551238-1.0116486914218483*I
832,0.651154179204,0.957612551827,-2.6896940556106217-0.35700791125206427*I,-2.6815139518986393-0.4685523947784792*I,-3.003774935912895-0.6946285247646637*I,-3.3497645379515193-0.7869255022777492*I,-3.6931498914539596-0.8252096306253816*I,-4.028707304183292-0.8572978734459152*I,-4.385011067224469-0.904369387803202*I,-4.7707240968297535-0.9475394878096597*I
834,0.699393184331,0.950281099871,-2.7258321630522646-0.4437496975976808*I,-2.5642872533302175-0.4808480529379085*I,-2.9452449726076337-0.737186934568197*I,-3.298749748286653-0.8359027358155718*I,-3.6378644916575995-0.8754955031058546*I,-3.958672417896757-0.9111043236436277*I,-4.302428932365759-0.9668679803401956*I,-4.678250170956225-1.015246171935326*I
835,0.668573220642,0.958842963752,-2.7041749909112336-0.38419922159393616*I,-2.6458756822615825-0.4686373356897131*I,-2.983947885155257-0.7089260127134721*I,-3.332316634131802-0.803847275846547*I,-3.674068459822877-0.8428751797900942*I,-4.004690947570487-0.8764781247879441*I,-4.356819948600883-0.9265550194568815*I,-4.739203029943222-0.9715268285614249*I
837,0.703156860694,0.951177317801,-2.727973649427529-0.4518772098169635*I,-2.5528982678171843-0.4842642482510255*I,-2.940173123956898-0.7409406247606592*I,-3.294384791118102-0.8400282099091098*I,-3.6332116507300047-0.8796159088978158*I,-3.95271181566034-0.915390102980628*I,-4.295344023335969-0.9718894332426709*I,-4.670300547152288-1.0207079630825642*I
838,0.707283512608,0.948110212992,-2.7301803006121452-0.4609711944183969*I,-2.5401936060269095-0.48864538923252426*I,-2.9345202110913062-0.74514106723758*I,-3.2895258857752103-0.844609872683978*I,-3.6280485477679503-0.8841720282712564*I,-3.946084516289087-0.9201025424440471*I,-4.287454897362495-0.9774208613249841*I,-4.661446502102489-1.026729440662318*I
839,0.660326441844,0.957014951402,-2.6974302499103016-0.3706959072492209*I,-2.6636387453858963-0.46830410386506355*I,-2.9935070159157644-0.7020232783304926*I,-3.3407026689522876-0.7957383021274287*I,-3.683219194475404-0.8344486761789995*I,-4.016227421255846-0.8673616434749194*I,-4.370377302099244-0.9160001910792345*I,-4.754369050548096-0.9601098977379338*I
840,0.68407186191,0.958657534754,-2.715907885580265-0.41247385253064095*I,-2.6077772031646367-0.47188535171143114*I,-2.9650959807971837-0.7226168431538904*I,-3.3158998096848538-0.819601179849663*I,-3.65627253868916-0.8590427510824838*I,-3.982148472765107-0.8937834401320616*I,-4.330241246054515-0.946651594714109*I,-4.709436867374797-0.9932957993788712*I
841,0.687751933056,0.950315657018,-2.7184598632887527-0.41970420320099394*I,-2.597820795647876-0.4734010829981962*I,-2.9604416160073965-0.7260170682357504*I,-3.311867829530319-0.823447399206664*I,-3.6519272762722226-0.862949680874027*I,-3.976621814921391-0.8979248583196993*I,-4.323706458490367-0.9514749944925344*I,-4.702112433161979-0.998527703307296*I
842,0.65780522347,0.959357607008,-2.695321799434797-0.3667922435955617*I,-2.6687416605780805-0.46832163338175237*I,-2.9963668965823027-0.6999619263978061*I,-3.3432207529031475-0.793294796208184*I,-3.6859743811033363-0.8318954615368409*I,-4.019693941099556-0.8645873977749394*I,-4.374445410037664-0.9127919453198053*I,-4.758917311421936-0.9566414678269676*I
845,0.690713537331,0.955165946181,-2.7204389970577427-0.42565669459693867*I,-2.5895692919756454-0.4748894173222095*I,-2.956644461327066-0.7287979194101878*I,-3.308583752567628-0.8265738134161492*I,-3.6483958253655175-0.8661139587768543*I,-3.972123523151168-0.9012665469032729*I,-4.318381969254913-0.9553714587315807*I,-4.696143011702006-1.0027564386053454*I
847,0.688925995939,0.956053076389,-2.7192525869127735-0.4220499233193792*I,-2.594574498991423-0.47396098339212156*I,-2.958941852765693-0.7271146630897165*I,-3.310570167385679-0.8246834376143154*I,-3.6505310213463815-0.8642019150055663*I,-3.9748440170737167-0.8992486637365695*I,-4.3216027470194005-0.9530180801131477*I,-4.699754068143038-1.0002021264297414*I
849,0.684556016695,0.954060738561,-2.7162493212933008-0.4134143302084229*I,-2.606486666153011-0.47206501447168314*I,-2.9644876548133117-0.7230607476946561*I,-3.315372401612713-0.8201047854102607*I,-3.6557035602526535-0.8595551969072968*I,-3.9814253129407398-0.8943275920640522*I,-4.32938660268558-0.9472850154395558*I,-4.708479073553452-0.9939826943821748*I
853,0.711996147016,0.947581040069,-2.7325171283306395-0.4715776659859682*I,-2.5254977295120224-0.4944982826075738*I,-2.9279446360869996-0.7500505145682609*I,-3.2838805837861567-0.8499193408579974*I,-3.6220719772041527-0.8894262219357182*I,-3.9383957216499526-0.9255006043566958*I,-4.27828607971032-0.9837710485047944*I,-4.651153824484788-1.0336490837986607*I
854,0.67398047493,0.955499392044,-2.7084305377413527-0.3936478328136064*I,-2.633295565303105-0.46929536350596296*I,-2.977505266815337-0.7135917159364383*I,-3.3266893371588435-0.8092647754470121*I,-3.6679503170241423-0.8484650691640067*I,-3.99695724817062-0.8824903802482443*I,-4.347714876453914-0.9335271976370287*I,-4.729010738822793-0.9790742274787507*I
855,0.696498640518,0.95071037981,-2.7241029797656817-0.43761227953417436*I,-2.5728853595588768-0.47857666143338207*I,-2.9490921073268512-0.7343486434235758*I,-3.3020646792363886-0.8327634764596455*I,-3.6414070601141626-0.872348538154904*I,-3.9632033257872776-0.9078163429055309*I,-4.307807962042337-0.963021153519593*I,-4.684284442788383-1.0110647733692304*I
856,0.695373648467,0.95031327931,-2.723411944061624-0.43525436765948955*I,-2.5761845015028197-0.47777333437212766*I,-2.950574937425342-0.7332566495086603*I,-3.303343383407414-0.8315510797605464*I,-3.6427756134123324-0.8711304639124691*I,-3.964952004050323-0.9065403696736495*I,-4.309882493976477-0.9615295471494139*I,-4.686611371590204-1.009444056289674*I
861,0.69588706997,0.950417804677,-2.7237286233730664-0.43632853225486784*I,-2.574681942608743-0.478134572857627*I,-2.9498990624367787-0.7337542462624186*I,-3.3027604771375683-0.8321038606562657*I,-3.6421516090940265-0.871686020921581*I,-3.9641547943765882-0.9071225605811544*I,-4.308936830921272-0.9622100412463115*I,-4.685550676911089-1.010183410535645*I
862,0.661606803133,0.956271735838,-2.6984938722457845-0.372718955816544*I,-2.660989963466238-0.4683136749023801*I,-2.9920435893394366-0.703078701437908*I,-3.3394158263748563-0.7969854725061146*I,-3.6818124970020376-0.8357493362893266*I,-4.01445631137153-0.8687728110767315*I,-4.368297832467863-0.9176327532905089*I,-4.7520436749927555-0.961875175190757*I
863,0.708534317745,0.947114684401,-2.730819639398869-0.4637638675272625*I,-2.5363083294426882-0.490109313878775*I,-2.9327875262730134-0.7464322241197577*I,-3.2880377002109125-0.8460109424733766*I,-3.6264706940363727-0.8855611633942828*I,-3.944056441503095-0.9215335882680689*I,-4.285038140954392-0.9791028180761896*I,-4.658733753615508-1.0285614937380112*I
864,0.675867476994,0.958060100906,-2.7098778081170924-0.39705243609203394*I,-2.628726207528827-0.46963049970148246*I,-2.975223476935589-0.7152472071617672*I,-3.3247007134136854-0.811174828153487*I,-3.665792667728666-0.8504283424031904*I,-3.99422583573257-0.8845949394846239*I,-4.344495840030569-0.9359701194243816*I,-4.72540609984124-0.98171988810396*I
865,0.695216605614,0.95020531692,-2.7233146433558666-0.43492645950596454*I,-2.5766430423916318-0.47766462807307863*I,-2.9507813843387054-0.7331047026443506*I,-3.3035214572753713-0.8313821750262373*I,-3.6429662889839114-0.8709606481527975*I,-3.9651955668113104-0.9063623373656766*I,-4.3101713784929565-0.9613214820140078*I,-4.686935388961817-1.0092180083411548*I
866,0.660762680737,0.958158960203,-2.697793220831511-0.3713821269572234*I,-2.6627406507310423-0.46830587948992525*I,-2.9930092464372557-0.7023822211525109*I,-3.3402648363803578-0.796162754383132*I,-3.6827404823172696-0.8348915227789601*I,-4.015624790127214-0.8678422754334997*I,-4.36966982568694-0.9165561793250151*I,-4.753577947291216-0.9607110592224498*I
872,0.693430276862,0.949552212378,-2.722193581582039-0.43121828995800304*I,-2.5818231088431824-0.4764859390804603*I,-2.953120267677904-0.7313847051506648*I,-3.3055397125197-0.8294667238494117*I,-3.6451288828419-0.8690328040230988*I,-3.9679567289629496-0.90433876178294*I,-4.313445239036071-0.9589574513213065*I,-4.690607155217744-1.006650112912367*I
873,0.659527312883,0.957435826942,-2.6967638614968252-0.36944708265249243*I,-2.665272259650065-0.4683046652003812*I,-2.994416609497988-0.7013674933325278*I,-3.3415030768912914-0.7949620397955042*I,-3.6840946014706257-0.8336382658333197*I,-4.017329185491538-0.8664816610921503*I,-4.3716705482806235-0.9149823689710713*I,-4.75581506954399-0.9590094437005493*I
874,0.693300028199,0.949484265645,-2.7221108193099615-0.4309494865931136*I,-2.5821981825142153-0.476404085106034*I,-2.9532901312762783-0.7312598908177247*I,-3.3056863498484286-0.8293274754179275*I,-3.6452861150093256-0.8688925065890627*I,-3.968157389842372-0.904191322990549*I,-4.313683081091938-0.9587852712442118*I,-4.690873886727805-1.0064631170680276*I
875,0.665876690638,0.958442385419,-2.7019994289579534-0.37966151987359553*I,-2.651869230206254-0.4684516979733915*I,-2.9871084902876204-0.7066413153279401*I,-3.335084334791884-0.8011758098205782*I,-3.677084224526229-0.8401069982036397*I,-4.008496965173054-0.8734901491320586*I,-4.36129591731529-0.9230934513372026*I,-4.744211499409608-0.9677814316157443*I
876,0.717789151996,0.950219398177,-2.7351205873316844-0.48491871221817384*I,-2.5073244303841755-0.5029626074528754*I,-2.919682347268299-0.7562571518552687*I,-3.2767947101014414-0.8565634456676836*I,-3.614605175942693-0.895963432630586*I,-3.928763259335082-0.9321590361761488*I,-4.26677396609965-0.9916263627107349*I,-4.638227456211425-1.0422197460281382*I
877,0.672397317972,0.956109991415,-2.7072005965275676-0.39083385285485334*I,-2.63705731939913-0.46905880658771604*I,-2.9794061974696033-0.7122138012885851*I,-3.3283477569982165-0.807670125723733*I,-3.6697514824215105-0.8468229726739247*I,-3.9992357671836434-0.8807272559538828*I,-4.350398848683769-0.9314815641894278*I,-4.73201573954207-0.9768593133806407*I
885,0.656371742505,0.957780609211,-2.694115800789714-0.3646203159183909*I,-2.6715775554794576-0.46835081816750845*I,-2.997980139702573-0.6987997703987998*I,-3.344643152536435-0.7919127180427428*I,-3.6875322011376417-0.8304484515132151*I,-4.021652558055293-0.8630127477570815*I,-4.376742796852473-0.9109716674707674*I,-4.7614853071345875-0.9546739211456521*I
886,0.700196969673,0.952374693676,-2.7262997295435523-0.44547168207462334*I,-2.561873556369933-0.4815327389934839*I,-2.9441684508496815-0.7379825250410521*I,-3.2978227889442917-0.836779607557811*I,-3.6368752589637134-0.8763727346723048*I,-3.9574060673222102-0.912018619827945*I,-4.300924541125074-0.9679385174723675*I,-4.676562322875885-1.0164102371026407*I
888,0.702210454798,0.953204456658,-2.727446650736763-0.4498181969608735*I,-2.5557821138788324-0.4833543739487307*I,-2.941455947424854-0.7399898952547251*I,-3.2954882936180043-0.8389861166391657*I,-3.634386642565312-0.8785767122850237*I,-3.9542181025911023-0.9143113043192163*I,-4.297135363682054-0.9706246563383574*I,-4.672310692642898-1.0193318802162818*I
890,0.683537751681,0.955182360007,-2.7155292643312086-0.4114401723634804*I,-2.609193995727663-0.47169376286050174*I,-2.9657656752436012-0.7221283278762367*I,-3.3164805765864456-0.8190464491681595*I,-3.6568992854825075-0.8584779709624379*I,-3.9829448771339613-0.8931833888501923*I,-4.331182302819515-0.9459532200555503*I,-4.7104914605220625-0.9925385256546437*I
891,0.656061563577,0.953701314344,-2.6938542433303305-0.36415490429566344*I,-2.6721850533897014-0.46835879736400576*I,-2.9983280045926524-0.6985492301385138*I,-3.344950054405592-0.791614343529203*I,-3.6878684613188613-0.8301357858944001*I,-4.022075199703677-0.862672279657482*I,-4.377238433572206-0.9105781556878579*I,-4.762039272005329-0.954248605008745*I
893,0.656477164483,0.957690612756,-2.694204651009498-0.36477886678889515*I,-2.6713705878328984-0.4683482369372978*I,-2.9978618113203126-0.698884997658778*I,-3.344538773317638-0.7920141830591646*I,-3.6874178482304565-0.8305547542567469*I,-4.021508818534346-0.8631284850998129*I,-4.3765742232571485-0.9111054415238158*I,-4.761296890947583-0.9548185096801045*I
896,0.676649981502,0.952931202462,-2.7104717422139446-0.39848020894362574*I,-2.6268039939249617-0.46978754976864573*I,-2.9742721123401643-0.7159379478859638*I,-3.3238722312205384-0.8119699062367473*I,-3.6648944636684635-0.8512444159514652*I,-3.9930881554912605-0.8854686308762513*I,-4.343154543675983-0.936984654991938*I,-4.723903950674117-0.9828188112162878*I
898,0.700535760632,0.953877559138,-2.7264951505359742-0.4461997525668406*I,-2.560853020356131-0.4818285299644954*I,-2.943713626850468-0.7383188405719886*I,-3.2974312342107988-0.8371498794392951*I,-3.636457582577885-0.8767429246776485*I,-3.956871236323667-0.912404152786323*I,-4.3002890436373615-0.968390045214794*I,-4.67584930246619-1.0169012687368812*I
900,0.706234848924,0.952398729682,-2.729633678039687-0.45864266260235415*I,-2.5434399530438476-0.48746727126771244*I,-2.93596593893365-0.7440650797715964*I,-3.290767991063628-0.8434396927531521*I,-3.6293667601744497-0.8830103438254757*I,-3.947777870442238-0.9189037208981039*I,-4.289471864062727-0.9760126509531585*I,-4.6637103575887835-1.0251959581542271*I
901,0.651948436159,0.952660501351,-2.6903696433982662-0.3581369985437751*I,-2.68003940641358-0.4685133805088529*I,-3.002900531149858-0.6952576568742652*I,-3.348990507185727-0.7876803741281256*I,-3.692299985908109-0.826004325418625*I,-4.0276408075171295-0.8581661618995002*I,-4.383761783323089-0.9053721111496524*I,-4.769328522689977-0.9486228392985386*I
903,0.657189945758,0.958009021446,-2.694804742673383-0.3658557752062016*I,-2.6699646210354935-0.46833257061839517*I,-2.99706046133086-0.6994622390687348*I,-3.343832094650544-0.7927009452823948*I,-3.6866437953245796-0.8312739656379611*I,-4.020535705918883-0.8639112881964084*I,-4.375432869500661-0.9120103086492607*I,-4.760021132735241-0.9557965625816837*I
906,0.704929249366,0.951764840626,-2.7289396453672743-0.455760213182322*I,-2.5474656523046035-0.48606257682270815*I,-2.93775709253284-0.742733667649287*I,-3.292307385900893-0.8419884388268216*I,-3.6310020630743893-0.8815677525791052*I,-3.949877301256902-0.9174124024720102*I,-4.291971361566932-0.9742618585210964*I,-4.666515626989474-1.0232899115731167*I
908,0.683203157293,0.955001258605,-2.7152910391573415-0.4107946813790051*I,-2.610077843704862-0.47157721889736665*I,-2.9661844605824426-0.7218229308348012*I,-3.3168438346692746-0.8186993829886984*I,-3.6572914113022583-0.8581244510358735*I,-3.983443055059889-0.8928076175771178*I,-4.331770886916453-0.9455159368901714*I,-4.711151032519165-0.9920643942922313*I
910,0.70315964585,0.954998509833,-2.727975188856012-0.45188328414932094*I,-2.552889762757222-0.48426697726148826*I,-2.940169341317239-0.7409434294933657*I,-3.2943815377407186-0.8400312813792241*I,-3.6332081878881803-0.8796189702242033*I,-3.9527073754055446-0.9153932788386717*I,-4.295338741854192-0.9718931574089144*I,-4.67029462039182-1.0207120153931242*I
915,0.66997877998,0.955760397654,-2.7052956403188304-0.3866108408136013*I,-2.6426782645058915-0.4687691643484144*I,-2.9822867356676914-0.7101278630691393*I,-3.3308638922449867-0.805247654340732*I,-3.6724872497267986-0.8443231638582329*I,-4.00269380014263-0.8780383124239249*I,-4.354469958376616-0.9283633885876742*I,-4.736572935624901-0.9734839257730923*I
916,0.716438885104,0.944000303508,-2.7345402748344143-0.4817804091400244*I,-2.5115607112880647-0.500864389841009*I,-2.9216260885440932-0.7547930881611347*I,-3.278461108963791-0.8550029267428297*I,-3.6163575942528885-0.8944317131195823*I,-3.9310266100735993-0.9306048776707212*I,-4.26948160235699-0.9897904946819025*I,-4.641268008272548-1.0402155635778243*I
917,0.680197902659,0.958467587056,-2.713116380529261-0.4050690789021932*I,-2.6178872003979983-0.47064500342812526*I,-2.969920302341705-0.7191015724214191*I,-3.3200872225052316-0.8155973577523034*I,-3.66079620648768-0.8549590430688446*I,-3.9878925221708332-0.8894370985288722*I,-4.337025146365011-0.9415957442876983*I,-4.717038180284073-0.9878149090417552*I
923,0.688028319113,0.950857134671,-2.718647429427881-0.4202547354944378*I,-2.597059568182613-0.4735294243425928*I,-2.960089208360617-0.7262748885878745*I,-3.311562844792521-0.8237379804819183*I,-3.651599020899952-0.863244214119013*I,-3.976203944729832-0.8982363844708622*I,-4.323212054102032-0.9518380657188575*I,-4.70155820038487-0.9989216478452461*I
925,0.705865382903,0.946681889338,-2.729438791661081-0.4578250908180149*I,-2.5445810602500027-0.48706280972578364*I,-2.9364737973665425-0.7436873896800151*I,-3.2912044073204756-0.843028377007013*I,-3.629830188613295-0.8826016944060484*I,-3.948372968706724-0.918481560164834*I,-4.290180492781766-0.9755169267106855*I,-4.664505695921865-1.0246562197009035*I
926,0.669255613938,0.956338514193,-2.7047202585226886-0.38536611223810713*I,-2.6443296701092147-0.4686981595055094*I,-2.983142582526257-0.7095085588321606*I,-3.3316122034664923-0.8045264735693642*I,-3.673301584661326-0.8435777321362365*I,-4.003722483812221-0.8772353576551465*I,-4.355680495155346-0.9274326284238444*I,-4.737927805543056-0.9724765762710156*I
927,0.731459151831,0.948540908812,-2.7400992937171105-0.5175966094027656*I,-2.4651264538233217-0.5283038817043201*I,-2.8993723423254765-0.7717093663122655*I,-3.259390455400149-0.8727914644113586*I,-3.5964393276681266-0.9117646057756023*I,-3.9052038143873324-0.9479604689529705*I,-4.23848762841796-1.0103833591749911*I,-4.606455330636227-1.062739861442198*I
928,0.67679736763,0.955080104367,-2.7105831920679835-0.39875017079779185*I,-2.6264401435039146-0.4698183657922066*I,-2.9740925816904302-0.7160683306336867*I,-3.3237159317602063-0.8121198598148712*I,-3.664725056849032-0.8513982531107783*I,-3.9928735405980347-0.8856332557301329*I,-4.342901484155614-0.9371758434326866*I,-4.723620531607912-0.9830259151834175*I
933,0.722607043536,0.945064832307,-2.737060456542633-0.4962523556758454*I,-2.492265115929473-0.5110604007991268*I,-2.91265666417282-0.7615699282102217*I,-3.2707734666294344-0.8621921297437738*I,-3.6082918225323573-0.9014699014610141*I,-3.920595559646362-0.9377146750556432*I,-4.256989114560931-0.9982014670621339*I,-4.627238249745694-1.0494036174437498*I
934,0.678746946661,0.954701308226,-2.712044618548836-0.4023518631011512*I,-2.621573631014903-0.47026438374105806*I,-2.9717076310507835-0.7178014332675534*I,-3.321640843035707-0.8141093849599368*I,-3.6624773492145524-0.8534370179595211*I,-3.990024758174494-0.8878127534303926*I,-4.3395413635828435-0.93970778481494*I,-4.7198569478330175-0.9857690167925979*I
935,0.685647229272,0.950026284387,-2.7170126103760652-0.41554606544686196*I,-2.603556323453557-0.47249136655693985*I,-2.963112141337428-0.7240650326643959*I,-3.3141803370891587-0.8212424978678418*I,-3.6544181892987333-0.8607118906537496*I,-3.979791065560613-0.8955548069807788*I,-4.327454745293568-0.9487139277263849*I,-4.706313914861971-0.9955324256702737*I
937,0.674291865364,0.959040133673,-2.708670793688951-0.3942058863145752*I,-2.6325479619159453-0.46934656799712215*I,-2.977129933630616-0.7138639140207544*I,-3.3263620737203325-0.8095792656678363*I,-3.6675950761652536-0.8487885926005554*I,-3.9965076867955753-0.882837443418919*I,-4.347185176252504-0.9339299734825819*I,-4.72841762951851-0.9795103857240872*I
963,0.677520510859,0.949765545783,-2.7111280648928924-0.4000794730663996*I,-2.6246466701235716-0.4699753731187709*I,-2.9732101594873-0.7167093423029857*I,-3.322947887607007-0.81285651884105*I,-3.6638928180020134-0.8521536395508373*I,-3.9918190183590343-0.8864412712992719*I,-4.341657904966054-0.9381143556122185*I,-4.722227706317205-0.9840426132851227*I
965,0.713957722027,0.945474115036,-2.7334319273302197-0.4760587518795336*I,-2.5193479835956327-0.497207187116452*I,-2.925169299790109-0.7521305277984426*I,-3.2814996271240338-0.8521543354313902*I,-3.6195586271811537-0.891629872679628*I,-3.935156708086785-0.9277524711131433*I,-4.274418243517855-0.9864248113671438*I,-4.646811191559195-1.036543118063384*I
966,0.674979045812,0.955826725601,-2.7091990114574687-0.39544269020662803*I,-2.6308891587511853-0.4694652235478446*I,-2.9762999612725167-0.714465983498116*I,-3.3256386132240103-0.8102742692156971*I,-3.666809992754746-0.8495031807010178*I,-3.9955139518835625-0.8836036663775972*I,-4.346014132169911-0.9348193157803566*I,-4.727106342644832-0.9804734987865671*I
967,0.720066948171,0.9471528292,-2.7360631122782193-0.49025096919750966*I,-2.500190028632695-0.5066730787513968*I,-2.916378414954245-0.7587514371179666*I,-3.2739628124884317-0.8592126495795471*I,-3.611632214657568-0.8985586564423144*I,-3.924919749552754-0.9347836667217536*I,-4.262172204952615-0.994730138995295*I,-4.633059527303054-1.0456097102465414*I
968,0.671273473522,0.955601386557,-2.706319195909059-0.3888600358485955*I,-2.6396880921551347-0.4689138915175688*I,-2.980748233592636-0.7112416669578674*I,-3.32951955002756-0.8065424188771049*I,-3.6710251045196687-0.8456600536795228*I,-4.000846051582022-0.879477078280017*I,-4.352294959612409-0.9300315827535355*I,-4.734138374373757-0.9752896042128375*I
973,0.705030526787,0.946713667057,-2.728994016383525-0.45598314400577133*I,-2.5471540573487492-0.48616909631489674*I,-2.9376184977232267-0.7428366239383356*I,-3.2921882504372952-0.8421007926513717*I,-3.6308754428667265-0.8816795101106142*I,-3.949714793414369-0.917528037290956*I,-4.291777931466801-0.9743975733632495*I,-4.666298541260959-1.023437641793983*I
974,0.663093769358,0.956704978977,-2.6997223190663555-0.37510259536956025*I,-2.6578643413368357-0.4683422002065905*I,-2.990334564195544-0.7043118154835193*I,-3.3379144309068973-0.7984392628330574*I,-3.6801724000914176-0.8372633413493727*I,-4.012390277606102-0.8704136415901816*I,-4.365871232010775-0.919531565498654*I,-4.749329726531435-0.9639286258742005*I
975,0.686561035259,0.950242949622,-2.7176450483277184-0.41734394828176*I,-2.6010795130995916-0.4728718892506839*I,-2.9619555063548413-0.724910113569589*I,-3.3131784674319658-0.8221980978636453*I,-3.653338603871079-0.8616823749403417*I,-3.978417848025979-0.8965833308465285*I,-4.325830942256056-0.9499118955263871*I,-4.704493867505987-0.9968318891582936*I
976,0.655647731601,0.958747543744,-2.693504971753775-0.36353649149609235*I,-2.6729921903854374-0.46837031955662867*I,-2.998791447597399-0.698215477740197*I,-3.3453590293217226-0.7912166364761521*I,-3.6883166355011814-0.8297188792771353*I,-4.022638432368293-0.8622181792394281*I,-4.37789888429979-0.9100533438773428*I,-4.762777417373671-0.953681394632133*I
977,0.678363407594,0.955576098436,-2.711759020180331-0.40163881434800475*I,-2.622538887102342-0.47017086188679874*I,-2.9721783194033766-0.7174592351899768*I,-3.322050195471371-0.8137171042932303*I,-3.662920547288241-0.8530353647949953*I,-3.9905866592603987-0.8873837053562149*I,-4.340204274026258-0.9392092425291579*I,-4.720599507637994-0.9852288391520448*I
981,0.679821319352,0.954034903463,-2.712839547198035-0.4043608673405008*I,-2.618849263610118-0.4705420598715148*I,-2.9703852062621188-0.7187632806219004*I,-3.3204912156898674-0.815210564953281*I,-3.6612332171918336-0.8545636265031328*I,-3.98844692027892-0.8890153275542887*I,-4.337679486892357-0.9411054453660916*I,-4.717771232710693-0.9872835552260236*I
982,0.699809783105,0.950368037006,-2.726075189872398-0.44464124911261893*I,-2.563037584484843-0.48119993553311763*I,-2.944687463553045-0.7375988790479953*I,-3.2982696610645155-0.8363569340827127*I,-3.6373520761076836-0.8759499850535475*I,-3.9580165192139947-0.9115781320083052*I,-4.301649796842758-0.9674227095870943*I,-4.677376032420965-1.015849342190944*I
983,0.650369344999,0.957040112529,-2.6890258933795166-0.3559027192837534*I,-2.682957947225107-0.4685934410135597*I,-3.0046362710447787-0.6940088827218358*I,-3.3505274399481375-0.7861810888706786*I,-3.6939878748606607-0.8244253384919452*I,-4.029758556529763-0.8564404764138505*I,-4.386242263618687-0.9033793745445817*I,-4.772099340972134-0.9464699329148077*I
984,0.666979951396,0.959586511497,-2.7028934407280887-0.38150386504910705*I,-2.649439211798546-0.46851751048570384*I,-2.985819510475193-0.7075727675302873*I,-3.333955009716338-0.8022664297869518*I,-3.6758531590024814-0.8412380378098874*I,-4.0069437904042475-0.8747118239678711*I,-4.359469735693605-0.9245084946397303*I,-4.742168220718162-0.9693123656747648*I
989,0.66974127364,0.955851733865,-2.705106954158804-0.3862011210958469*I,-2.643222109602492-0.4687450868680047*I,-2.982568093844098-0.7099242454261072*I,-3.3311098606839007-0.8050106405501214*I,-3.6727548846360354-0.8440782422356099*I,-4.003031914121638-0.8777745472578969*I,-4.354867871263137-0.9280576218236636*I,-4.737018302372944-0.9731529890724352*I
990,0.716500029436,0.943938134128,-2.734566901175899-0.4819221516323523*I,-2.5113688173171815-0.5009577635098195*I,-2.9215383068993424-0.7548591541087387*I,-3.2783858457703747-0.8550734339795375*I,-3.6162783982382662-0.8945009675243937*I,-3.9309243591444303-0.930675226866198*I,-4.269359315271925-0.9898735638292541*I,-4.641130689014125-1.0403062333777877*I
991,0.680584970203,0.958515298898,-2.7133999338157664-0.4057991730761709*I,-2.6168945031185906-0.47075392453591197*I,-2.969441709347261-0.7194499080773304*I,-3.3196714213411873-0.8159953609395654*I,-3.660346527803689-0.8553657529288201*I,-3.9873219603541155-0.8898707474380427*I,-4.336351651463368-0.9420999093977104*I,-4.716283644733201-0.9883613197330002*I
